Name "Market Cap" "Market Percentage"
BitcoinBTC 67131.28 88.66
EthereumETH 3510.92 4.64
TetherUSDT 0.9995 0.0
BNBBNB 610.18 0.81
SolanaSOL 147.99 0.2
USDCUSDC 1.0 0.0
XRPXRP 0.4794 0.0
DogecoinDOGE 0.1423 0.0
ToncoinTON 8.05 0.01
CardanoADA 0.4222 0.0
"Shiba InuSHIB" 0.0 0.0
AvalancheAVAX 31.55 0.04
TRONTRX 0.12 0.0
PolkadotDOT 6.36 0.01
ChainlinkLINK 15.42 0.02
"Bitcoin CashBCH" 436.29 0.58
UniswapUNI 10.87 0.01
"NEAR ProtocolNEAR" 5.96 0.01
PolygonMATIC 0.61 0.0
LitecoinLTC 80.13 0.11
DaiDAI 1.0 0.0
"UNUS SED LEOLEO" 5.56 0.01
PepePEPE 0.0 0.0
"Internet ComputerICP" 9.86 0.01
KaspaKAS 0.17 0.0
"Ethereum ClassicETC" 25.58 0.03
AptosAPT 8.03 0.01
MoneroXMR 175.67 0.23
HederaHBAR 0.09 0.0
RenderRNDR 8.27 0.01
FilecoinFIL 5.41 0.01
StacksSTX 2.05 0.0
MantleMNT 0.9 0.0
CosmosATOM 7.47 0.01
StellarXLM 0.1 0.0
OKBOKB 46.36 0.06
ImmutableIMX 1.82 0.0
ArbitrumARB 0.94 0.0
CronosCRO 0.1 0.0
InjectiveINJ 28.75 0.04
"First Digital USDFDUSD" 1.0 0.0
dogwifhatWIF 2.46 0.0
SuiSUI 0.99 0.0
"The GraphGRT" 0.25 0.0
OptimismOP 2.04 0.0
BittensorTAO 319.05 0.42
VeChainVET 0.03 0.0
MakerMKR 2299.91 3.04
NotcoinNOT 0.02 0.0
FLOKIFLOKI 0.0 0.0
ArweaveAR 29.93 0.04
FantomFTM 0.65 0.0
"Lido DAOLDO" 2.0 0.0
"Theta NetworkTHETA" 1.76 0.0
BonkBONK 0.0 0.0
JasmyCoinJASMY 0.04 0.0
OndoONDO 1.24 0.0
"Bitget TokenBGB" 1.17 0.0
THORChainRUNE 4.84 0.01
CelestiaTIA 7.96 0.01
CoreCORE 1.6 0.0
"Brett (Based)BRETT" 0.14 0.0
"Pyth NetworkPYTH" 0.38 0.0
Fetch.aiFET 1.59 0.0
StarknetSTRK 1.01 0.0
AlgorandALGO 0.16 0.0
SeiSEI 0.44 0.0
AaveAAVE 85.44 0.11
JupiterJUP 0.92 0.0
FlareFLR 0.03 0.0
FlowFLOW 0.75 0.0
GalaGALA 0.03 0.0
EthenaENA 0.72 0.0
BeamBEAM 0.02 0.0
ChilizCHZ 0.12 0.0
"Axie InfinityAXS" 7.06 0.01
ORDIORDI 48.03 0.06
"Bitcoin SVBSV" 50.91 0.07
QuantQNT 82.98 0.11
"KuCoin TokenKCS" 10.4 0.01
"dYdX (Native)DYDX" 1.64 0.0
"BitTorrent [New]BTT" 0.0 0.0
NeoNEO 13.12 0.02
MultiversXEGLD 33.83 0.04
"The SandboxSAND" 0.4 0.0
RoninRON 2.73 0.0
WorldcoinWLD 3.68 0.0
WormholeW 0.49 0.0
"Akash NetworkAKT" 3.6 0.0
SingularityNETAGIX 0.67 0.0
OasisROSE 0.12 0.0
TezosXTZ 0.85 0.0
GnosisGNO 321.84 0.43
PendlePENDLE 5.27 0.01
LivepeerLPT 24.57 0.03
ConfluxCFX 0.19 0.0
GateTokenGT 8.35 0.01
eCashXEC 0.0 0.0
NexoNEXO 1.38 0.0
"BOOK OF MEMEBOME" 0.01 0.0
